"自動実行","自動実行"
"\n<\n[3]>くすくす♥
ちょっとアソコ見せただけでウブな反応しちゃって。
あんたそれでもハンターなの？","\n<\n[3]>Teehee♥ 
Just a little teasing made you react like that?
Can you even call yourself a hunter anymore?"
"\n<\n[3]>ひとつ言っておくけど、
『そんなもの』じゃ私たち淫魔は倒せないからね？
武器は効かないの。もちろん知ってるわよね。","\n<\n[3]>Let me tell you something. 
You can't defeat a succubus with something like that, right? 
Weapons don't work. But you know that already."
"\n<\n[3]>ま、好きにしなさい。
もっと抗ってみせてね♥
雑魚ハンターさん♥","\n<\n[3]>I hope you like it. 
Show me more♥
Little succubus hunter♥"
"果物ナイフが置いてある・・・
一本あれば十分だ。","There's a fruit knife here...
But the one I have now is all I need."
"EV079","EV079"
"\n<\n[3]>なに探してるにゃん。
そんなところに何もないにゃ。","\n<\n[3]>What are you looking for-nya?
There's nothing that could possibly be in there-nya."
"\n<\n[3]>ほっぺすりすりにゃ。
これされると人間はバカだからメロメロになって
逃げられなくなるにゃ。","\n<\n[3]>Cheek rub time-nya.
When I do this, humans get all lovey dovy and turn stupid,
and they become unable to get away-nya."
"\n<\n[3]>にゃぁん・・・♥
美味しそうな匂いにゃぁ♥","\n<\n[3]>Nyaaahnn...♥
You smel delicious-nya♥"
"\n<\n[3]>アタシの顔に精液かけたくないにゃぁ？
にゃーにゃー？","\n<\n[3]>Don't you wanna plaster my face with some semen-nya?
Nyaa- nyaa?"
"\n<\n[3]>振り払おうとしても無駄だし♥
諦めてほっぺに射精するにゃ♥","\n<\n[3]>There's no use trying to fight it♥
Go ahead and cum on my cheek, nya♥"
"\n<\n[3]>ざーこ♥","\n<\n[3]>Loooser♥"
"\n<\n[3]>にゃはは！
まだ頑張ろうとしてるにゃん？
面白いやつ！","\n<\n[3]>Nyahahaha!
Are you still putting up a fight, nyaan?
You're an odd one!"
"\n<\n[3]>でももうチンポ苦しそうにゃん。
顔も赤いし、鼻息も馬みたいだし。","\n<\n[3]>Your cock looks like it's aching, nyan.
Your cheeks are red, and you're panting like a horse."
"\n<\n[3]>後でアタシの部屋に来るにゃ。
いっぱい搾ってやるにゃ♥","\n<\n[3]>Come to my room later, nya.
I'll squeeze you dry, nya♥"
"報告書：魔物について（オーク）","Report: Monsters (Orcs)"
"二足歩行の豚のような低級の魔物です。
道具を使う個体もいますが、基本的に知能は豚並です。
豚なので鼻が良いようです。","A low ranking monster resembling a two-legged pig. Some can
use tools, but most have comparable intelligence to pigs.
Similar to pigs, their sense of smell is excellent."
"繁殖力が高く、理性が低いので
淫魔等の他種族に使役される事が多いようです。
（躾ければ芸のひとつも覚えるかも？）","Owing to their high fertility rate, and low intelligence,
other races such as succubi will often use them as grunts.
(If trained, perhaps they can even learn a special skill?)"
"近寄ると殴ってきますが所詮雑魚モンスター、脅威にはなりません。
身体がなまっている時は運動がてら
経験値にしてもいいでしょう。","If you draw too close, they will lash out at you. Since they are so
weak, this is not much of a threat. If you feel your body growing
dull, you could train with them for experience."
"接着剤などの小道具が置いてある。
何か作ることが出来そうだ。","Small tools such as glue are strewn about.
You could craft something here."
"薬",
"もう使えそうなものはない。","Nothing else useful."
"本日のメニュー
・ネギのビネグレット
・鴨もも肉のコンフィ","Today's menu:
・Green onion vinaigrette
・Duck confit"
"\n<\n[1]>（ビネグレット？
コンフィ？
・・・？？？）","\n<\n[1]>(Vinaigrette?
Confit?
...???)"
"\n<\n[1]>（あにきに持っていったら喜ぶかな・・・
いや、飲んでる場合じゃないか。
やめとこ。）","\n<\n[1]>(I wonder if brother would like me to bring him
some of this... No, now's not the time to be drinking.
I'd better not.)"
"\n<\n[1]>（ひと口だけなら・・・
いや、ダメだ。
飲んでる場合じゃない・・・）","\n<\n[1]>(Maybe just a swig...
No, no I can't.
Now's not the time to be drinking...)"
"EV089",
"シィナのバカにシャンデリアは道じゃないって教えてやって。
あいつが飛び乗る度にほこりが凄いのよ。
頭おかしいんじゃないのマジで。","Someone tell that idiot Shina that the chandelier is not
for jumping on. She kicks up a ton of dust every time she
jumps on it. Seriously, she's crazy."
"私が言っても「お前にはこれ出来んにゃぁ～」とか
意味不明な方向で煽ってくるから腹立つのよね。
言い聞かせておいてね。","Then she says 'You can't do this, nya~', to provoke me.
As if that's the reason I'm angry, you know?
I'm telling you, it drives me insane!"
"天使の像・・・","An angel statue..."
"もう何もない・・・","There's nothing here..."
"時計が時を刻んでいる・・・","The clock ticks away…"
"\n<\n[1]>（どれだけの時間、ここにいるんだろう・・・）","\n<\n[1]>(I wonder how long I'll be trapped here...)"
"\n<\n[1]>（時間の感覚がおかしくなる・・・
早くここから抜け出さないと・・・）","\n<\n[1]>(I'm losing my sense of time...
I need to get out of here soon...)"
"時計は故障している・・・","The clock is broken…"
"EV097","EV097"
"\C[3]※ARPGの操作について\C[0]","\C[3]※This game is an ARPG.\C[0]"
"武器を装備して『Aキー』を押すことで攻撃を行えます。
淫魔には効きませんが、魔物を倒したり、
障害物を取り除いたり出来ます。","Push the 『A Button』 to attack with your equipped weapon.
Though this will have no effect on succubi,
you can defeat monsters and obstacles in this way. "
"また、『Dキー』を押している間は向きを固定して移動できます。
徘徊しているオークを攻撃することで
経験値を稼ぐことが出来ます。","Also, you can strafe by pushing the 『D Button』.
You can earn EXP by defeating the roaming orcs."
"Aキー：攻撃を放つ（ショット）
Dキー：向きを固定して移動する","A Button: Attack (Shoot)
D Button: Move in a fixed direction"
"メニューから先ほど入手した『果物ナイフ』を装備してみましょう。","For now, try equipping the 『Fruit Knife』
you obtained earlier from the menu."
"鏡に自分が映っている・・・","It's your reflection in the mirror..."
"\n<\n[1]>（頑張れ私・・・！負けるな・・・）","\n<\n[1]>（I have to do my best...! I won't lose...）"
"\n<\n[1]>（囚人服・・・
心まで囚われてたまるか・・・）","\n<\n[1]>(I may be a captured prisoner...
but they will never capture my heart...)"
"EV102","EV102"
"EV103","EV103"
"EV104","EV104"
"EV105","EV105"
"EV106","EV106"
"EV107","EV107"
"EV108","EV108"
"EV109","EV109"
"EV110","EV110"
"EV111","EV111"
"EV112","EV112"
"時計の装飾品が凄く豪華だ・・・
取ってしまおう。","The clock is adorned with a gorgeous ornament…
You take it."
"EV114","EV114"
"EV115","EV115"
"EV116","EV116"
"シィナが本で爪研いでたんだけど、
あれ私たちの日記だったみたい！
ページがバラバラに散らばっちゃった！","Shina was sharpening her claws with a book,
and it looked like it was my diary!
The pages were scattering everywhere!"
"でも怒らないであげて！
文字が読めないから、どうでもいい本だと思ったんだって！
ページはまた集めればいいから。","I mustn't get angry though! She can't read, so she
didn't know how important the book was! I just need
to collect the pages again."
"バルコニーで飛んでいっちゃったのはもう無理かもだけど。
どこかに引っかかってたらいいな。","It may not be possible for me to fly off of the
balcony. It would be nice to have some privacy."
"EV118","EV118"
"EV119","EV119"
"EV120","EV120"
"EV121","EV121"
"食堂にネズミが出るわ！
手癖の悪いネズミ！鍵を持って行かれたわ。
一体何がしたいのかしら。","There's a mouse loose in the kitchen!
The little thief nabbed a key!
What in the world would it need that for?"
"シィナのバカに頼んで捕まえて貰おう。
とりあえず、穴を塞いで逃げられなくしてやれば・・・","I've asked that moron Shina to catch it.
If we could block its hole, it wouldn't be able to escape…"
"EV123",
"武器を作る材料は・・・","Materials for crafting weapons…"
"メイスの答えを見る","How to craft the Mace"
"フックショットの答えを見る","How to craft the Hookshot"
"見ない","Don't see"
"棒はお風呂場、
重くて硬い物は2F執事の部屋（シィナの部屋）にあります。","Find a stick in the bathroom.
Find a hard, heavy object in the Butler's (Shina's) room."
"尖ったものは2F右の館主の部屋、
ロープは倉庫にあります。","Find some rope in the warehouse.
Find a pointed object in the Master's room (2nd floor, right side)."
"EV124","EV124"
"2Fに上がるには・・・","How to get up to the 2F..."
"答えを見る","See solution"
"リリーに3回挿入して射精を我慢してください。
レベルを上げる、もしくは精力増強剤を使う事で
突破がしやすくなります。","You will need to thrust into Lily 3 times without ejaculating.
Raising your level or using an energy boosting item will make this
easier."
"リリーの日記","Lily's Dairy"
"アーコの帳簿
再会","Ako's Ledger
Reunion"
"読んでみる","Read"
"やめておく","Don't read"
"EV126",
"アーコの帳簿
レストランを開こう","Ako's Ledger
Opening a restaurant"
"アーコの帳簿
例のブツ","Ako's Ledger
The usual"
