"エイミー","エイミー"
"\n<アリス>なに？戦闘訓練するの？
私、負けないから！
ぼっこぼこにしてやる！","\n<アリス>なに？戦闘訓練するの？
私、負けないから！
ぼっこぼこにしてやる！"
"\n<リドル>\n[1]がふたなりだったなんてなぁ。
幼馴染なのに、全然知らなかったよ。","\n<リドル>\n[1]がふたなりだったなんてなぁ。
幼馴染なのに、全然知らなかったよ。"
"\n<リドル>あっ！ごめん！
デリケートな話だったね。","\n<リドル>あっ！ごめん！
デリケートな話だったね。"
"\n<リドル>ん・・・？何か用かい？","\n<リドル>ん・・・？何か用かい？"
"ゴーグルを奪う","ゴーグルを奪う"
"リボンを付ける","リボンを付ける"
"\n<\n[1]>ふふん！","\n<\n[1]>ふふん！"
"\n<リドル>よく似合ってると思うよ。","\n<リドル>よく似合ってると思うよ。"
"\n<リドル>キミは一体どうしたいんだい？","\n<リドル>キミは一体どうしたいんだい？"
"\n<リドル>気を付けろよ\n[1]。
あのリリスのおっぱいは厄介だぞ。
あんなに大きいと・・・柔らかそうで・・・ゴクリ。","\n<リドル>気を付けろよ\n[1]。
あのリリスのおっぱいは厄介だぞ。
あんなに大きいと・・・柔らかそうで・・・ゴクリ。"
"\n<リドル>うん。今のは殴ってもいい。","\n<リドル>うん。今のは殴ってもいい。"
"\n<リドル>エイミー仕込みの戦闘術か。
通りで魔物相手でも自然と身体が動くと思ったよ。","\n<リドル>エイミー仕込みの戦闘術か。
通りで魔物相手でも自然と身体が動くと思ったよ。"
"\n<リドル>エイミーが起きてるぞ・・・
なんかそれだけでうれしいな。","\n<リドル>エイミーが起きてるぞ・・・
なんかそれだけでうれしいな。"
"\n<リドル>いや、起きてはいないのか・・・
でもこうしてまた話が出来るなんて・・・
奇跡だよ。","\n<リドル>いや、起きてはいないのか・・・
でもこうしてまた話が出来るなんて・・・
奇跡だよ。"
"\n<リドル>僕達、エイミーの歳に近づいちゃったな。
昔はすっごくお姉さんだった気がしたけど。","\n<リドル>僕達、エイミーの歳に近づいちゃったな。
昔はすっごくお姉さんだった気がしたけど。"
"\n<エイミー>ふふん♥
まだあたしの方がお姉さんだもんね。
ってかずっとあんた達のお姉さんだよ！あたしは。","\n<エイミー>ふふん♥
まだあたしの方がお姉さんだもんね。
ってかずっとあんた達のお姉さんだよ！あたしは。"
"\n<リドル>昔から親父の骨とう品とか美術品を弄って怒られてたから
細工が出来たんだな。","\n<リドル>昔から親父の骨とう品とか美術品を弄って怒られてたから
細工が出来たんだな。"
"\n<リドル>エイミーはこっちの世界でもずっと絵を描き続けてたんだね。
知らない絵がいくつかあるよ。
新作が見れるなんて、夢みたいだ。","\n<リドル>エイミーはこっちの世界でもずっと絵を描き続けてたんだね。
知らない絵がいくつかあるよ。
新作が見れるなんて、夢みたいだ。"
"\n<リドル>\n[1]、リリスとの最終決戦、頑張ってね。
僕は僕で何か出来ることはないか探してみる。","\n<リドル>\n[1]、リリスとの最終決戦、頑張ってね。
僕は僕で何か出来ることはないか探してみる。"
"\n<リドル>リリスに呪いをかけられたから
あの人形に精神がリンクしちゃったんだな。","\n<リドル>リリスに呪いをかけられたから
あの人形に精神がリンクしちゃったんだな。"
"\n<リドル>船の材料かぁ・・・
とりあえずありったけの木材をかき集めてくるよ。
旗はドクロにしよう。","\n<リドル>船の材料かぁ・・・
とりあえずありったけの木材をかき集めてくるよ。
旗はドクロにしよう。"
"\n<リドル>船旅だよ！楽しみだね！
ロマンだなぁ・・・","\n<リドル>船旅だよ！楽しみだね！
ロマンだなぁ・・・"
"\n<リドル>早く終わらせてきなよ。
リリスなんてさくっとイカせちゃえ。","\n<リドル>早く終わらせてきなよ。
リリスなんてさくっとイカせちゃえ。"
"\n<リドル>あっ！ごめん！
完全にセクハラだったね。
少しこの世界に馴染みすぎたようだ。","\n<リドル>あっ！ごめん！
完全にセクハラだったね。
少しこの世界に馴染みすぎたようだ。"
"\n<リドル>\n[1]が帰ってくるまで昔話はしないでおくよ。
みんなで懐かしみたいもんね。","\n<リドル>\n[1]が帰ってくるまで昔話はしないでおくよ。
みんなで懐かしみたいもんね。"
"\n<リドル>アカシックレコードかぁ。
もう少し見ておきたかったなー。
あーぁ。","\n<リドル>アカシックレコードかぁ。
もう少し見ておきたかったなー。
あーぁ。"
"\n<リドル>よく考えたらなんだかとんでもないことを
してきたような気がするね。
世界の仕組みを覗いてしまった・・・","\n<リドル>よく考えたらなんだかとんでもないことを
してきたような気がするね。
世界の仕組みを覗いてしまった・・・"
"\n<リドル>アカシックレコードで親父に会った気がするんだ。
何を話したか覚えてないけど・・・
少し強くなれたと思う。","\n<リドル>アカシックレコードで親父に会った気がするんだ。
何を話したか覚えてないけど・・・
少し強くなれたと思う。"
"\n<リドル>結構長い時間経ってる感じするけど
これって一晩の出来事なんだよね？
うーん。","\n<リドル>結構長い時間経ってる感じするけど
これって一晩の出来事なんだよね？
うーん。"
"\n<リドル>\n[1]、リリスとの最終決戦、頑張ってね。
・・・
これはセクハラになるのか？","\n<リドル>\n[1]、リリスとの最終決戦、頑張ってね。
・・・
これはセクハラになるのか？"
"\n<リドル>なるみたいだね。","\n<リドル>なるみたいだね。"
"\n<リドル>結局僕の本当の名前ってなんだったっけ？
全然思い出せないんだけど。
なんで？","\n<リドル>結局僕の本当の名前ってなんだったっけ？
全然思い出せないんだけど。
なんで？"
"\n<リドル>（あー・・・こういうやつだったな）","\n<リドル>（あー・・・こういうやつだったな）"
"\n<リドル>この懐かしい痛みよ。","\n<リドル>この懐かしい痛みよ。"
