"～性具～","~ Sex toys ~"
"亀頭しか隠れないゴム
ゴム　敏感無効","Condom that conceals everything but the top
Condom  Null Sensitive"
"ゼブラゴム","Zebra Condom"
"しましま模様のゴム
ゴム　脱力無効","Striped Condom
Condom  Null Weakness"
"メレンゲ","Meringue"
"泡立てたメレンゲをそっと塗ってみる
ゴム　催淫毒無効","Gently coat yourself in whipped meringue
Condom  Null Aphrodisiac "
"はちみつ","Honey"
"とろっと甘いはちみつをそっと塗ってみる
ゴム　催淫毒無効　フェラ耐性-50%","Gently coat yourself in thick, sweet honey
Condom  Null Aphrodisiac  Blowjob resistance -50%"
"わさび","Wasabi"
"辛いわさびをこっそり塗ってみる
ゴム　催淫毒無効　フェラ耐性+20%","Sneakily coat yourself in spicy wasabi
Condom  Null Aphrodisiac  Blowjob resistance +20%"
"穴あきゴム","Perforated Condom"
"先端に穴が開いたとても危険なゴム
ゴム","Very dangerous condom with a hole in the tip
Condom"
"スパイラルゴム","Spiral Condom"
"捻じれていて付ける時大変
ゴム　拘束無効","Hard to put on because of all the twists
Condom  Null Restrain"
"ローションゴム","Lotion Condom"
"ぬるぬるしていてつるつる滑るゴム
ゴム　拘束無効","Slimy and slippery Condom
Condom  Null Restrain"
"ゴムゴムのゴム","Condom Condom Condom"
"ゴム人間になるゴム
ゴム　拘束無効　水耐性-100%","Become a human Condom
Condom  Null Restrain  Water resistance -100%"
"フェロモンゴム","Pheromone Condom"
"サキュバスの愛液が塗ってあるゴム
ゴム　興奮無効　誘惑耐性-100%","Condom coated with succubus love juice
Condom  Null Arousal  Temptation resistance -100%"
"シールド","Shield"
"防御魔法がかけられたゴム
ゴム　怯み無効　暗闇無効　魅了無効","Condom enchanted with defense magic
Condom  Null Flinch/Blind/Charm"
"ガーディアン","Guardian"
"守護精霊の加護があるゴム
ゴム　興奮無効　暗闇無効　魅了無効","Condom protected by a guardian spirit
Condom  Null Arousal/Blind/Charm"
"<mat1:A147*1>
<mat2:I76*3>
<mat3:I77*1>
<mat4:I81*1>
<matG:500>","<mat1:A147*1>
<mat2:I76*3>
<mat3:I77*1>
<mat4:I81*1>
<matG:500>"
"抗菌ゴム","Antibacterial Condom"
"滅菌消毒するクリーンなゴム
ゴム　催淫毒無効　暗闇無効","Clean, sterilized condom
Condom  Null Aphrodisiac/Blind"
"ポイズンゴム","Poison Condom"
"毒を仕込んであるゴム
ゴム　催淫毒無効　催淫毒付与","Condom coated with poison
Condom  Null Aphrodisiac  Inflict Aphrodisiac"
"デッドリーポイズンゴム","Deadly Poison Condom"
"ヤバイ毒を仕込んでいるゴム　自分もヤバイ
ゴム　精力自動回復-1　催淫毒付与","Comdom coated with deadly poison  Double edged blade
Condom  Auto energy recovery -1  Inflict Aphrodisiac"
"<mat1:A150*1>
<mat2:I82*1>
<mat3:I105*1>
<mat4:I794*1>
<matG:500>","<mat1:A150*1>
<mat2:I82*1>
<mat3:I105*1>
<mat4:I794*1>
<matG:500>"
"手編みのゴム","Hand-knitted Condom"
"母さんが夜なべをしてコンドーム編んでくれた
ゴム　敏感無効　暗闇無効　魅了無効","Mother stayed up all night kniting this condom
Condom  Null Sensitive/Blind/Charm"
"サイバーゴム","Cyber ​​Condom"
"サイバーワイフ社が作ったハイテクノロジーゴム
ゴム　敏感無効　暗闇無効　魅了無効　脱力無効","High tech condom made by Cyberw​ife
Condom  Null Sensitive/Blind/Charm/Weakness"
"パイズリ用ゴム","Paizuri Condom"
"パイズリの気持ちよさを上げるゴム
ゴム　パイズリ耐性-500%","Condom that increases pleasure from paizuri
Condom  Paizuri resistance -500%"
"奇遇なゴム","Strange Condom"
"イチモツが二本に増えてしまうゴム
ゴム　攻撃回数+1　スキル使用不可","Condom that gives you a second penis
Condom  Number of attacks +1  Cannot use skills"
"イーヂス","Aejizz"
"伝説のゴムのパチモノ
ゴム　魅了無効　拘束無効","A forgery of a legendary condom
Condom  Null Charm/Restrain"
"イージス","Aegis"
"伝説のゴム
ゴム　状態異常無効","Legendary Condom
Condom  Null Abnormal Status"
"<mat1:A156*1>
<mat2:I76*5>
<mat3:I77*3>
<mat4:I81*2>
<mat5:I73*5>
","<mat1:A156*1>
<mat2:I76*5>
<mat3:I77*3>
<mat4:I81*2>
<mat5:I73*5>"
"リリスのゴム","Lilith Condom"
"リリスの魔力が込められたゴム
ゴム　TP増加+30%　パイズリ耐性-100%","Condom with the magical power of Lilith
Condom  TP increase +30%  Paizuri resistance -100%"
"クールゴム","Cool Condom"
"メンソールが塗ってあるひんやりゴム
ゴム　興奮無効　怯み無効","Cooling condom coated in menthol
Condom  Null Arousal/Flinch"
"スーパークールゴム","Super Cool Condom"
"冷気魔法がかけられたゴム
ゴム　興奮無効　怯み無効","Condom enchanted with ice magic
Condom  Null Arousal/Flinch"
"<mat1:A159*1>
<mat2:I79*1>
<matG:500>","<mat1:A159*1>
<mat2:I79*1>
<matG:500>"
"凍結ゴム","Frozen Condom"
"液体窒素で瞬間冷凍したゴム
ゴム　興奮無効　怯み無効　魅了無効","Condom flash-frozen in liquid nitrogen
Condom  Null Arousal/Flinch/Charm"
"<mat1:A160*1>
<mat2:I79*2>
<matG:500>","<mat1:A160*1>
<mat2:I79*2>
<matG:500>"
"紙製のゴム","Paper Condom"
"ほぼトイレットペーパーの芯
ゴム　怯み無効　尻コキ耐性+20%","Basically just a toilet paper roll
Condom  Null Flinch  Assjob resistance +20%"
"シールスキン","Seal skin"
"アザラシの皮で出来たコンドーム
ゴム","Condom made of seal skin
Condom"
"またたびゴム","Again rubber"
"猫の大好きなまたたびをまぶしてみた
ゴム","I tried to sprinkle the cat's favorite Actinidia polygama
Rubber"
"<mat1:A101*1>
<mat2:I113*1>
","<mat1:A101*1>
<mat2:I113*1>"
"ハリガネゴム",
"ハリガネがぐるぐる巻いてあるゴム
ゴム　興奮無効",
"～指輪～","~ Ring ~"
"約束の指輪","Promise Ring"
"永遠を誓った指輪
指輪　弾+1　ワイドショット","Ring that signifies an eternal promise
Ring  Shots +1  Wide shot"
"<shotWay:1>
<shotSpace:0.7>","<shotWay:1>
<shotSpace:0.7>"
"鉄の指輪","Iron Ring"
"鉄でできたシンプルな指輪
指輪","A simple ring made of iron
Ring"
"金の指輪","Gold Ring"
"金で出来た高級な指輪
指輪","An expensive ring made of gold
Ring"
"<mat1:I77*1>
<matG:500>","<mat1:I77*1>
<matG:500>"
"戦いの指輪","Battle Ring"
"パンクなデザインの指輪
指輪","A ring with a punk design
Ring"
"チェリーリング","Cherry Ring"
"さくらんぼがデザインされた可愛い指輪
指輪　弾+1","A cute ring with a cherry design
Ring  Shots +1"
"<shotWay:1>
","<shotWay:1>"
"ダイヤの指輪","Diamond Ring"
"小粒のダイヤがあしらってある指輪
指輪　魅了無効","A ring studded with diamonds
Ring  Null Charm"
"<mat1:I81*1>
<matG:1000>","<mat1:I81*1>
<matG:1000>"
"リリスのピンキーリング","Lilith's Pinky Ring"
"リリスの呪いが込められた小指用の指輪
指輪　パイズリ耐性-500%","A pinky ring cursed by Lilith
Ring  Paizuri resistance -500%"
"おもちゃの指輪","Toy Ring"
"プラスチックでできた安っぽい指輪
指輪　魅了無効　興奮無効","Cheap ring made of plastic
Ring  Null Charm/Arousal"
"ミモザリング","Mimosa Ring"
"アカシアの花の装飾がされた優雅な指輪
指輪　魅了無効　興奮無効　催淫毒無効","Elegant ring decorated with acacia flowers
Ring  Null Charm/Arousal/Aphrodisiac"
"フェアリーリング","Fairy Ring"
"妖精の腕輪　人間にとっては指輪
指輪　魅了無効　催淫毒無効　体力消費-20%","A bracelet for a fairy, but a ring for a human
Ring  Null Charm/Aphrodisiac  HP cost -20%"
"<mat1:I78*1>
<mat2:I79*1>
<mat3:I80*1>
<matG:500>","<mat1:I78*1>
<mat2:I79*1>
<mat3:I80*1>
<matG:500>"
"インスマスリング","Innsmouth Ring"
"磯の香がする指輪
指輪　催淫毒無効　経験値+5%","Ring that smells of the seashore
Ring  Null Aphrodisiac  Experience +5%"
"<mat1:I79*1>
<mat2:I103*1>
<matG:100>","<mat1:I79*1>
<mat2:I103*1>
<matG:100>"
"ヒートリング","Heat Ring"
"情熱を表現した指輪
指輪　脱力無効　TP増加+30%","A ring that represents passion
Ring  Null Weakness  TP increase +30%"
"<mat1:I78*1>
<matG:300>","<mat1:I78*1>
<matG:300>"
"スノーリング","Snow Ring"
"冷静を表現した指輪
指輪　興奮無効　体力自動回復+3","A ring that represents calmness
Ring  Null Arousal  Auto recover HP +3"
"<mat1:I79*1>
<matG:300>","<mat1:I79*1>
<matG:300>"
"スパークリング","Sparkle Ring"
"閃きを表現した指輪
指輪　怯み無効　クリティカル+3","A ring that represents insight
Ring  Null Flinch  Critical +3"
"<mat1:I107*1>
<matG:300>","<mat1:I107*1>
<matG:300>"
"フェザーリング","Feather Ring"
"自由を表現した指輪
指輪　拘束無効　精力自動回復+3","A ring that represents freedom
Ring  Null Restrain  Energy auto recovery +3"
"<mat1:I80*1>
<matG:300>","<mat1:I80*1>
<matG:300>"
"回復の指輪","Recovery Ring"
"回復魔法がかけられた指輪
指輪　催淫毒無効　精力自動回復+2","Ring imbued with recovery magic
Ring  Null Aphrodisiac  Energy auto recovery +2"
"メディカルリング","Medical Ring"
"薬の効果を高める指輪
指輪　催淫毒無効　アイテム回復効果+50%","Ring that enhances the effect of medicine
Ring  Null Aphrodisiac  Item recovery effect + 50%"
"力の指輪","Power Ring"
"力が湧いてくる指輪
指輪　脱力無効　拘束無効　体力自動回復+1","A ring surging with power
Ring  Null Weakness/Restrain  HP auto recovery +1"
"涙の指輪","Ring of Tears"
"錆びてしまっている
指輪　魅了無効　興奮無効　アイテム回復効果+20%","A rusted ring
Ring  Null Charm/Arousal  Item recovery effect +20%"
"呪いの指輪","Cursed Ring"
"ドクロ模様のあからさまに呪われてそうな指輪
指輪　敏感無効　精力減少-2","A skull adorned ring that appears to be cursed
Ring  Null Sensitive  Energy reduction -2"
"エナジーリング","Energy Ring"
"必要以上に力が入る魔法の指輪
指輪　脱力無効　消費体力+50%","A magic ring that gives you more power than you need
Ring  Null Weakness  HP cost +50%"
"ブラックキャット","Black Cat Ring"
"黒猫屋の特製リング　お得意様限定
指輪　行動追加5%　最大精力+200　最大体力+20","An inscription reads 'Made by Ako'
Ring  Double item drop rate  Additional action chance 5%"
"成金の指輪","Riche Ring"
"趣味の悪い指輪
指輪　獲得金額2倍","A truly tasteless ring
Ring  Double gold acquired"
"エンジェルリング","Angel Ring"
"髪の毛がつやつやになる指輪
指輪　回復効果+20%　敏感無効　暗闇無効","A ring that makes your hair shiny
Ring  Recovery effects +20%  Null Sensitive/Blind"
"デビルリング","Devil Ring"
"黒い魔力が渦巻く指輪
指輪　回復効果-20%　敏感無効　興奮無効","A ring surging with dark magic
Ring  Recovery effects -20%  Null Sensitive/Arousal"
"ポンデリング","Pon de Ring"
"甘い匂いのする指輪
指輪　アイテム回復効果+50%　精力自動回復+2","A sweet smelling ring
Ring  Item recovery effect +50%  Auto energy recovery +2"
"チャネリング","Channel Ring"
"宇宙の電波を受信する指輪
指輪　アイテム回復効果+50%　経験値+20%","Ring that receives radio waves in space
Ring  Item recovery effect +50%  Experience +20%"
"メリケンサック","Brass Knuckles"
"殴るための連結指輪
指輪","Conjoined rings meant for hitting
Ring"
"マジカーレリング","Magikal Ring"
"高名な魔術師の魔力が込められた指輪
指輪　体力自動回復+5","A ring imbued with magic by a famous magician
Ring  HP auto recovery +5"
"<mat1:I793*1>
<matG:5000>","<mat1:I793*1>
<matG:5000>"
"ヒッグスリング","Higgs Ring"
"ヒッグス粒子で作られた指輪
指輪　命中率+15%","Ring made of Higgs boson particles
Ring  Hit rate +15%"
"旅人の指輪","Traveler's Ring"
"無事に帰ってくるよう祈りが込められた指輪
指輪　TP持ち越し","A ring filled with prayers for a safe return
Ring  Retain TP"
"ルビーの指輪","Ruby Ring"
"キレイな赤い宝石があしらってある指輪
指輪　TP持ち越し","Ring adorned with a beautiful red jewel
Ring  Retain TP"
"アクアマリンの指輪","Aquamarine Ring"
"キレイな青い宝石があしらってある指輪
指輪　興奮無効　怯み無効　催淫毒無効","Ring adorned with a beautiful blue jewel
Ring  Null Arousal/Flinch/Aphrodisiac"
"エメラルドの指輪","Emerald Ring"
"キレイな緑の宝石があしらってある指輪
指輪　魅了無効　拘束無効　暗闇無効","Ring adorned with a beautiful green jewel
Ring  Null Charm/Restrain/Blind"
"<mat1:I80*1>
<matG:500>","<mat1:I80*1>
<matG:500>"
"時の指輪","Time Ring"
"時を操る魔力が込められた指輪
指輪　行動追加20%","A ring with the power to manipulate time
Ring  Additional action chance 20%"
"メビウスの指輪","Mobius Ring"
"無限に続く表と裏
指輪　行動追加40%","Infinitely continues front to back
Ring  Additional action chance 40%"
"<mat1:A235*1>
<mat2:I790*5>
<matG:500>","<mat1:A235*1>
<mat2:I790*5>
<matG:500>"
"バーサークリング","Berserk Ring"
"身体が勝手に動いてしまう呪いの指輪
指輪　自動行動","A cursed ring that makes your body move on its own
Ring  Automatic action"
"封印の指輪","Sealed Ring"
"強力な悪魔を封印した呪いの指輪
指輪　スキル封印　行動追加30%","A cursed ring that sealed a powerful demon
Ring  Skill seal  Additional action chance 30%"
"ドーナツの穴","Donut Hole"
"多くの哲学者を悩ませたものの結論
指輪　アイテム回復効果+50%　精力自動回復+3","The answer to a question that has plagued many a philosopher
Ring  Item recovery +50%  Auto energy recovery +3"
"<mat1:A226*1>
<matG:3000>","<mat1:A226*1>
<matG:3000>"
"透視の指輪","Clairvoyant Ring"
"目を瞑っても前が見えるようになる指輪
指輪　暗闇無効　アイテム入手率2倍","A ring that allows you to see even if your eyes are shut
Ring  Null Blind  Double item drop rate"
"六魂石の指輪","Six Soul Stone Ring"
"六人分の命が凝縮された赤黒い石の指輪
指輪　興奮/魅了/発情無効　深呼吸封印","A red-black stone ring with condensed lives for six people
Ring  Null Arousal/Charm/Estrus  Seals Deep Breathing"
"黒猫の指輪","Black Cat's Ring"
"メイドインアーコと書いてある
指輪　アイテムドロップ率2倍　行動追加5%","It says 'Made by Ako'
Ring Item drop rate doubled, action added 5%"
"～装飾品～","～ Accessory ～"
"剣士のお守り","Swordfighter's Amulet"
"戦いの無事を祈る思いが込められたお守り
装飾品　防御効果+20%　剣装備可","Amulet full of prayers for safety during battle
Accessory  Defense +20%  Can equip swords"
"膝当て","Knee Pad"
"急所を守る冒険者の必需品
装飾品　防御効果+20%","An essential item to protect an adventurer's vital points
Accessory  Defense +20%"
"錬金術師の腕輪","Alchemist's Bracelet"
"薬の効果を高める腕輪
装飾品　アイテム回復効果+20%　薬装備可","A bracelet that enhances the effect of medicines
Accessory  Item recovery effect +20% Can equip medicine"
"白兎の懐中時計","White Rabbit's Pocket Watch"
"秒針が不規則に動く不思議な懐中時計
装飾品　行動追加20%","A pocket watch whose second hand moves irregularly
Accessory  Additional action chance 20%"
"トルテの腕時計","Torte's Watch"
"魔力切れで動いたり動かなかったりする時計
装飾品　興奮無効　行動追加10%","A watch that does or doesn't move based on its user's magic
Accessory  Null Arousal  Additional action chance 10%"
"クロノスの時計","Chronos Watch"
"時を司る神の時計
装飾品　行動追加40%","Godly watch that governs time
Accessory  Additional action chance 40%"
"<mat1:A304*1>
<mat2:A305*1>
<matG:10>","<mat1:A304*1>
<mat2:A305*1>
<matG:10>"
"薬剤師の鞄","Pharmacist's Bag"
"様々な薬が入った鞄
装飾品　アイテム回復効果+50%　薬装備可","Bag containing various medicine
Accessory  Item recovery +50%  Can equip medicine"
"血圧計","Sphygmomanometer"
"血圧を測定する腕輪
装飾品　興奮無効　怯み無効","A bracelet that measures blood pressure
Accessory  Null Arousal/Flinch"
"磁気ネックレス","Magnetic Necklace"
"磁力で血流をよくする健康器具
装飾品　興奮無効　怯み無効","Improves blood flow using magnetic energy
Accessory  Null Arousal/Flinch"
"カームブレスレット","Calm Bracelet"
"冷静さを保てるようになる腕輪
装飾品　興奮無効　怯み無効","A bracelet that helps you keep your cool
Accessory  Null Arousal/Flinch"
"チャームリスト","Charm Bracelet"
"可愛らしい腕輪
装飾品　魅了無効　敏感無効","A cute little bracelet
Accessory  Null Charm/Sensitive"
"ハートのチョーカー","Heart Choker"
"ハート模様のキュートなチョーカー
装飾品　魅了無効　敏感無効","A cute choker with a heart pattern
Accessory  Null Charm/Sensitive"
"インプのピアス","Imp Earrings"
"人を魅了する魔力の込められたピアス
装飾品　魅了無効　敏感無効","Earrings with magical power to charm people
Accessory  Null Charm/Sensitive"
"縄抜けの腕輪","Escape Rope Bracelet"
"縄抜けの小道具が仕込まれた腕輪
装飾品　拘束無効　脱力無効","Bracelet made of ropes you can use for escaping
Accessory  Null Restrain/Weakness"
"スリップリスト","Slip Bangle"
"掴もうとしてもするりと滑る腕輪
装飾品　拘束無効　脱力無効","A smooth bracelet that's too slippery to grab onto
Accessory  Null Restrain/Weakness"
"バブルリスト","Bubble Bangle"
"石鹸の匂いがする泡の腕輪
装飾品　拘束無効　脱力無効","A bracelet made of bubbles that smells like soap
Accessory  Null Restrain/Weakness"
"アンチトキシン","Antitoxin"
"毒を防ぐネックレス
装飾品　催淫毒無効","Necklace that prevents poison
Accessory  Null Aphrodisiac"
"星のチョーカー","Star Choker"
"星型のキュートなチョーカー
装飾品　怯み無効　興奮無効　行動追加2%","Cute star-shaped choker
Accessory  Null Flinch/Arousal  Extra action chance 2%"
"ダイヤのチョーカー","Diamond Choker"
"ダイヤ型のキュートなチョーカー
装飾品　敏感無効　催淫毒無効　行動追加2%","A cute diamond-shaped choker
Accessory Null Sensitive/Aphrodisiac Extra action chance 2%"
"クローバーのチョーカー","Clover Choker"
"クローバーのキュートなチョーカー
装飾品　拘束無効　行動追加4%","A cute clover-shaped choker
Accessory  Null Restrain  Extra action chance 4%"
"スペードのチョーカー","Spade Choker"
"スペード型のキュートなチョーカー
装飾品　怯み付与","A cute spade-shaped choker
Accessory  Null Flinch"
"精奴隷の首輪","Semen Slave Collar"
"精奴隷に着ける屈辱の首輪
装飾品","Humiliating collar worn by semen slaves
Accessory"
"識別番号","Identification Tag"
"ミルクタンク牧場の識別用の耳に着ける札
装飾品　手コキ耐性-500%　精力+1000","Ear tag used to identify milking cattle
Accessory  Handjob resistance -500% "
"ミサンガ","Misanga"
"切れた時に願いが叶うらしい
装飾品　魅了無効","Supposedly your wish comes true if it falls off
Accessory  Null Charm"
"エリヤのミサンガ","Ellia's Misanga"
"しめ縄のようなミサンガ　切れる気配がない
装飾品　防御効果+100%","A bangle made of magic talismans that will likely not break
Accessory  Defense +100%"
"セイレーンピアス","Siren Earrings"
"自分の歌で自分が魅了されないようにする耳栓
装飾品　魅了無効　防御効果+50%","Earplugs that prevent you from hearing mesmerizing songs
Accessory  Null Charm  Defense +50%"
"アクアネックレス","Aqua Necklace"
"魔力で水がネックレス状に連結している
装飾品　敏感無効　拘束無効","Necklace made of magically bound water
Accessory  Null Sensitive/Restrain"
"スピードリング","Speed ​​Ring"
"敏捷性がぐーんと上がる腕輪
装飾品　拘束無効","A bracelet that raises agility
Accessory  Null Restrain"
"シルフスカーフ","Sylph Scarf"
"風の精霊が首に巻いているスカーフ
装飾品　拘束無効","Wind spirit that wraps around your neck like a scarf
Accessory  Null Restrain"
"<mat1:I80*3>
<matG:500>","<mat1:I80*3>
<matG:500>"
"ウンディーネスカーフ","Undine Scarf"
"水の精霊が首に巻いているスカーフ
装飾品　敏感無効　催淫毒無効","Water spirit that wraps around your neck like a scarf
Accessory  Null Sensitive/Aphrodisiac"
"<mat1:I79*3>
<matG:500>","<mat1:I79*3>
<matG:500>"
"イフリートスカーフ","Ifrit Scarf"
"炎の精霊が首に巻いているスカーフ
装飾品　脱力無効　低速無効　暗闇無効","Fire spirit that wraps around your neck like a scarf
Accessory  Null Weakness/Slow/Blind"
"<mat1:I78*3>
<matG:500>","<mat1:I78*3>
<matG:500>"
"ノームスカーフ","Gnome Scarf"
"大地の精霊が首に巻いているスカーフ
装飾品　拘束無効　怯み無効　防御効果+50%","Earth spirit that wraps around your neck like a scarf
Accessory  Null Restrain/Flinch  Defense +50%"
"<mat1:I81*3>
<matG:500>","<mat1:I81*3>
<matG:500>"
"特攻隊の腕章","Kamikaze Armband"
"攻撃あるのみ！引くことは許されぬ
装飾品　防御効果-100%　精力減少1","There is only an attack! Not allowed to pull out!
Accessory  Defense -100%  Energy reduction 1"
"婚約指輪","Engagement Ring"
"誰かが愛を誓った指輪　無くすな
装飾品　精力自動回復+1　魅了無効","A ring used to pledge your love to someone
Accessory  Energy auto recover +1  Null Charm"
"そよ風のピアス","Breeze Earrings"
"風が吹くと緑に淡く光るネックレス
装飾品　低速無効　拘束無効","Earrings that glow green whenever the wind blows
Accessory  Null Slow/Restrain"
"三日月のイヤリング","Crescent Moon Earrings"
"三日月の夜に光るイヤリング
装飾品　体力自動回復+1","Earrings that shine on the night of the crescent moon
Accessory  Auto HP recovery +1"
"半月のイヤリング","Half Moon Earrings"
"半月の夜に光るイヤリング
装飾品　体力自動回復+2","Earrings that shine on the night of the half-moon
Accessory  Auto HP recovery +2"
"<mat1:A336*1>
<mat2:I72*3>
<matG:500>","<mat1:A336*1>
<mat2:I72*3>
<matG:500>"
"満月のイヤリング","Full Moon Earrings"
"満月の夜に光るイヤリング
装飾品　体力自動回復+3","Earrings that shine on the night of the full moon
Accessory  Auto HP recovery +3"
"<mat1:A337*2>
<matG:500>","<mat1:A337*2>
<matG:500>"
"ハッピーイヤリング","Happy Earrings"
"付けると運が良くなるらしい
装飾品　クリティカル率+3","Makes you feel luckier while wearing it
Accessory  Crit +3"
"<mat1:I74*3>
<matG:500>","<mat1:I74*3>
<matG:500>"
"フォーチュンリスト","Fortune Wristband"
"装備者に幸運が約束された腕輪
装飾品　クリティカル率+5","A bracelet that promises good luck to its wearer
Accessory  Crit +5"
"<mat1:A339*3>
<mat2:I74*3>
<matG:2000>","<mat1:A339*3>
<mat2:I74*3>
<matG:2000>"
"ステディリスト","Steady Wristband"
"着実に平凡な人生を送るための腕輪
装飾品　命中率+100　クリティカル率-100","A bracelet that helps you live a steady, ordinary life
Accessory  Hit rate +100  Crit rate -100"
"連撃の腕輪","Combo Bracelet"
"手が一度の動作で二回動くようになる
装飾品　命中率-40%　攻撃回数+1","Makes your hands move twice in one swift motion
Accessory  Hit rate -40%  Attack count +1"
"ムササビの腕輪","Flying Squirrel Bracelet"
"手が一度の動作で三回動くようになる
装飾品　命中率-70%　攻撃回数+2","Makes your hands move thrice in one swift motion
Accessory  Hit rate -70%  Attack count +2"
"<mat1:A342*1>
<mat2:I102*2>
<matG:500>","<mat1:A342*1>
<mat2:I102*2>
<matG:500>"
"フォルトゥーナピアス","Fortuna Earrings"
"幸運の女神のピアス
装飾品　クリティカル率+10","Earrings representing the goddess of luck
Accessory  Crit +10"
"ソウルバースト","Soul Burst"
"魂を削って力をもたらす呪いの腕輪
装飾品　毎ターン精力減少1","A cursed bracelet that erodes the soul and grants power
Accessory  Lose 1 energy each turn"
"カースドチョーカー","Cursed Choker"
"闇の魔力で呪われたチョーカー
装飾品　毎ターン精力減少2","Choker cursed by the dark magic
Accessory  Lose 2 energy each turn"
"ドクロのネックレス","Skull Necklace"
"パンクな気分になるぜ
装飾品　興奮耐性-1000%　TP増加+10%","Makes you feel punk
Accessory  Arousal resistance -1000%  TP increase +10%"
"フラワーブレスレット","Flower Bracelet"
"花で作られた腕飾り
装飾品　興奮無効　催淫毒無効　アイテム回復効果+30％","A bracelet made of flowers
Accessory Null Arousal/Aphrodisiac  Item recovery +30%"
"<mat1:I71*2>
<mat2:I72*2>
<mat3:I72*2>
<mat4:I74*2>
<matG:2000>","<mat1:I71*2>
<mat2:I72*2>
<mat3:I72*2>
<mat4:I74*2>
<matG:2000>"
"死の首飾り","Death necklace"
"木の枝とかに不意に引っかけて死ぬ
装飾品　","Suddenly caught on a tree branch and died
Accessory"
"オークの首飾り","Orc Necklace"
"オークが食べた人間の指の骨で作られた首飾り
装飾品　毎ターン精力減少3","Necklace made of the finger bones of humans eaten by orcs
Accessory  Lose 3 energy each turn"
"シルバーチェーン","Silver Chain"
"ロックな気分になるぜ
装飾品　魅了耐性-1000%　TP増加+30%","Makes you feel like a rock star
Accessory Charm resistance -1000%  TP increase +30%"
"ネビュラチェーン","Nebula Chain"
"アンドロメダを縛り付けていた鎖
装飾品　拘束付与　TP増加-20%","The chain that bound Andromeda
Accessory  Inflict Restrain  TP increase -20%"
"手錠","Handcuffs"
"悪い事した人が手に付けられる輪っか
装飾品　拘束付与　拘束耐性-1000%","A type of bracelet placed onto people who do bad things
Accessory  Inflict Restrain   Restrain resistance -1000%"
"<mat1:I76*1>
<matG:500>","<mat1:I76*1>
<matG:500>"
"こしふるうでわ","Koshifuru dewa"
"ラララ すばやさ あがって うれしいな
装飾品　膣属性付与","Lalala is quick and she's happy
Accessory  Pussy attribute"
"ザ・バングル","The Bangle"
"悔しい気持ちが湧いてくる腕輪
装飾品　脱力無効　低速無効","A bracelet that fills you with regret
Accessory  Null Weakness/Slow"
"<mat1:I794*1>
<mat2:I795*1>
<mat3:I791*1>
<matG:1>","<mat1:I794*1>
<mat2:I795*1>
<mat3:I791*1>
<matG:1>"
"プラチナバングル","Platinum Bangle"
"白金製の腕輪
装飾品　低速無効","Platinum bracelet
Accessory  Null Slow"
"時の学帽","Student's Hat of Time"
"時を止められるようになる学生帽子
装飾品　行動追加20%　オラオラ","Student's hat that will allow you to stop time
Accessory  Additional action chance 20%  Oraora"
"黒猫の帽子","Black Cat's Hat"
"メイドインアーコと書いてある
装飾品　獲得金額2倍　行動追加5%","It reads, 'Made by Ako'
Accessory  Double gold earned  Additional action chance 5%"
"シルクハット","Silk Hat"
"白黒チェック模様のシルクハット
装飾品　精力自動回復+1　オーバードライブ","Black and white checkered top hat
Accessory Energy auto recover +1  Overdrive"
"バンダナ","Bandana"
"殺人以外は大体やった犯罪者のバンダナ
装飾品　興奮耐性-100%　オーバードライブ","Bandana worn by a criminal who did everything except murder
Accessory  Arousal resistance -100%  Overdrive"
"懐中時計","Pocket Watch"
"貸すと二度と帰って来ない気がする時計
装飾品　怯み無効　オーバードライブ","If you lend me this watch, I feel you may never come back
Accessory  Null Flich  Overdrive"
"蝶のブローチ","Butterfly Brooch"
"可憐さと強さを兼ね備えたデザインのブローチ
装飾品　怯み無効　暗闇無効　オラオラ","A brooch with a design that combines cuteness and strength
Accessory  Null Flinch/Blind  Oraora"
"クラスタの靴下","Cluster's Stockings"
"見ていると変な気持ちになる白い靴下
装飾品　足コキ耐性-50%","White socks that make you feel funny when you look at them
Accessory  Footjob resistance -50%"
"セイレンの耳栓","Siren Earplugs"
"自分の歌でうっとりしないようにする耳栓
装飾品　魅了無効 怯み無効 暗闇耐性-50%","Earplugs that keep you from being charmed by a song
Accessory  Null Charm/Flinch  Blind resistance -50%"
"シィナのパンツ","Shina's Panties"
"嗅ぐとIQが下がる
装飾品　キス/誘惑耐性-50%","Your IQ goes down as you sniff
Accessory  Kiss/Temptation resistance -50%"
"リリバンド","Lilith's Headband"
"ゴスロリ系のヘアバンド
装飾品　行動追加+100％","Gothic Lolita hair band
Accessory  Additional action chance +100%"
"親父のゴーグル","Father's Goggles"
"本当の価値を見定めるためのゴーグル
装飾品　魅了無効　決意","Goggles used to determine something's true worth
Accessory  Null Charm  Determination"
"後悔のブローチ","Regret Brooch"
"どうしても捨てられなかったもの
装飾品　魅了無効　決意","Some things just can't be thrown away
Accessory  Null Charm  Determination"
"ハピハピスカーフ","Happy Happy Scarf"
"ハッピーハーピーの略らしい
装飾品　行動追加10% クリティカル+5 興奮/拘束無効","Might actually be called the Harpy Harpy Scarf
Accessory  Extra action +10%  Crit +5  Null Arousal/Restrain"
"紙袋","paper bag"
