"降竜剣","Dragon Sword"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:35>
<shotSkill:825>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:35>
<shotSkill:825>
<shotSeName:Wind7>"
"かぼちゃとニシンのパイ","Pumpkin and herring pie"
"優しさに包まれてないパイ
食べ物　1方向長　隙40","A pie that is not wrapped in kindness
Food 1-way long gap 40"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:4>
<shotIndex:18>
<shotSkill:825>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:4>
<shotIndex:18>
<shotSkill:825>
<shotSeName:Wind7>"
"ケーキ","cake"
"夢のようにあまーいケーキ
食べ物　設置　隙70","A sweet cake like a dream
Food installation gap 70"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:200>
<shotSpeed:0>
<shotInterval:70>
<shotType:4>
<shotIndex:19>
<shotSkill:825>
<shotSeName:pyoro46>","<shotWay:1>
<shotSpace:0.3>
<shotCount:200>
<shotSpeed:0>
<shotInterval:70>
<shotType:4>
<shotIndex:19>
<shotSkill:825>
<shotSeName:pyoro46>"
"ランチプレート","Lunch plate"
"みんなの好きなものすこしずつ
食べ物　1方向　隙50","Little by little what everyone likes
Food 1 direction gap 50"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.15>
<shotInterval:50>
<shotType:4>
<shotIndex:29>
<shotSkill:825>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.15>
<shotInterval:50>
<shotType:4>
<shotIndex:29>
<shotSkill:825>
<shotSeName:Wind7>"
"スターゲイジーパイ","Stargazy pie"
"星を眺める魚のパイ　食べると星になる
食べ物　1方向長　隙70","A fish pie looking at the stars becomes a star when eaten
Food 1-way long gap 70"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:70>
<shotType:5>
<shotIndex:18>
<shotSkill:825>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:70>
<shotType:5>
<shotIndex:18>
<shotSkill:825>
<shotSeName:Wind7>"
"ウェディングケーキ","Wedding cake"
"人生の墓場にお供えするケーキ
食べ物　設置　隙70","Cake for the graveyard of life
Food installation gap 70"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:200>
<shotSpeed:0>
<shotInterval:70>
<shotType:5>
<shotIndex:19>
<shotSkill:825>
<shotSeName:pyoro46>","<shotWay:1>
<shotSpace:0.3>
<shotCount:200>
<shotSpeed:0>
<shotInterval:70>
<shotType:5>
<shotIndex:19>
<shotSkill:825>
<shotSeName:pyoro46>"
"フルコース","Full course"
"前菜スープ魚ソルベ肉野菜甘みコーヒーまとめて毒入り
食べ物　1方向　隙50","Appetizer soup fish sorbet meat vegetables sweet coffee all together poisoned
Food 1 direction gap 50"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.15>
<shotInterval:50>
<shotType:5>
<shotIndex:29>
<shotSkill:825>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.15>
<shotInterval:50>
<shotType:5>
<shotIndex:29>
<shotSkill:825>
<shotSeName:Wind7>"
"ラブレター","Love letter"
"ちょっと病んだ内容のラブレター
誘惑　3方向　隙40","A little sick love letter
Temptation 3 directions gap 40"
"<shotWay:3>
<shotSpace:0.5>
<shotCount:20>
<shotSpeed:0.3>
<shotInterval:40>
<shotType:4>
<shotIndex:31>
<shotSkill:806>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:3>
<shotSpace:0.5>
<shotCount:20>
<shotSpeed:0.3>
<shotInterval:40>
<shotType:4>
<shotIndex:31>
<shotSkill:806>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:150>"
"ヤバいラブレター","Dangerous love letter"
"手紙と一緒に髪とか爪とか入ってるラブレター
誘惑　3方向　隙40","A love letter with hair and nails in it with the letter
Temptation 3 directions gap 40"
"<shotWay:3>
<shotSpace:0.5>
<shotCount:20>
<shotSpeed:0.3>
<shotInterval:40>
<shotType:5>
<shotIndex:31>
<shotSkill:806>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:3>
<shotSpace:0.5>
<shotCount:20>
<shotSpeed:0.3>
<shotInterval:40>
<shotType:5>
<shotIndex:31>
<shotSkill:806>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:150>"
"半端なかけら","Half-hearted pieces"
"不意に誰かを傷付けていく
水　1方向遅　隙60","Suddenly hurt someone
Water one-way delay 60"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:150>
<shotSpeed:0.05>
<shotInterval:60>
<shotType:3>
<shotIndex:19>
<shotSkill:826>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>","<shotWay:1>
<shotSpace:0.3>
<shotCount:150>
<shotSpeed:0.05>
<shotInterval:60>
<shotType:3>
<shotIndex:19>
<shotSkill:826>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>"
"水鉄砲","Water gun"
"水圧で穴を空ける銃　しゅこしゅこしてリロードする
水　1方向長　隙180","A gun that makes holes with water pressure.
Water one-way length gap 180"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:180>
<shotType:3>
<shotIndex:38>
<shotSkill:804>
<shotSeName:Splash>","<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:180>
<shotType:3>
<shotIndex:38>
<shotSkill:804>
<shotSeName:Splash>"
"ウォーターバズーカ","Water bazooka"
"水鉄砲のパワーアップ版　壁に穴が開く
水　1方向長　隙210","Power-up version of the water gun, a hole opens in the wall
Water 1-way long gap 210"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:210>
<shotType:3>
<shotIndex:24>
<shotSkill:804>
<shotSeName:Splash>","<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:210>
<shotType:3>
<shotIndex:24>
<shotSkill:804>
<shotSeName:Splash>"
"水龍弾","Water dragon bullet"
"高圧相氷を打ち出す水鉄砲
水　1方向長　隙240","Water gun that launches high-pressure phase ice
Water 1-way long gap 240"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:240>
<shotType:4>
<shotIndex:38>
<shotSkill:804>
<shotSeName:Splash>","<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:240>
<shotType:4>
<shotIndex:38>
<shotSkill:804>
<shotSeName:Splash>"
"マシンガン","Machine gun"
"下に打つと反動で空が飛べるらしい
炎　1方向　隙6　固定ダメージ3","It seems that if you hit it down, you can fly in the sky in reaction
Flame 1 direction gap 6 fixed damage 3"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:30>
<shotSpeed:0.4>
<shotInterval:6>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:1>
<shotSpace:0.1>
<shotCount:30>
<shotSpeed:0.4>
<shotInterval:6>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"ポーラスター","Polar Star"
"北極星印のハンドガン
炎　1方向　隙20　レベル分の固定ダメージ","Arctic Star Hand Gun
Fixed damage for 1 direction of flame, 20 levels of gap"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:40>
<shotSpeed:0.4>
<shotInterval:20>
<shotType:1>
<shotIndex:2>
<shotSkill:828>
<shotSeName:Gun1>
<shotSePitch:150>","<shotWay:1>
<shotSpace:0.1>
<shotCount:40>
<shotSpeed:0.4>
<shotInterval:20>
<shotType:1>
<shotIndex:2>
<shotSkill:828>
<shotSeName:Gun1>
<shotSePitch:150>"
"ショットガン","Shotgun"
"大量に弾をばらまく近距離用の銃
炎　10方向短　隙30　固定ダメージ3","A short-range gun that scatters a large amount of bullets
Flame 10-direction short gap 30 Fixed damage 3"
"<shotWay:10>
<shotSpace:0.05>
<shotCount:15>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:50>","<shotWay:10>
<shotSpace:0.05>
<shotCount:15>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:50>"
"レールガン","Railgun"
"物体をローレンツ力により加速して打ち出す装置
雷　1方向長　隙300　固定ダメージ100　地形貫通","A device that accelerates and launches an object by Lorentz force
Lightning 1 direction long gap 300 fixed damage 100 terrain penetration"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:120>
<shotSpeed:0.6>
<shotInterval:300>
<shotType:2>
<shotIndex:3>
<shotSkill:829>
<shotSeName:Gun3>
<shotSePitch:50>","<shotWay:1>
<shotSpace:0.1>
<shotCount:120>
<shotSpeed:0.6>
<shotInterval:300>
<shotType:2>
<shotIndex:3>
<shotSkill:829>
<shotSeName:Gun3>
<shotSePitch:50>"
"ブレイスガン","Brace gun"
"女性型武装探索ロボットのマシンガン
炎　2方向長　隙6　固定ダメージ3","Machine gun of female armed search robot
Flame 2 direction long gap 6 Fixed damage 3"
"<shotWay:2>
<shotSpace:0.01>
<shotCount:35>
<shotSpeed:0.4>
<shotInterval:6>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:2>
<shotSpace:0.01>
<shotCount:35>
<shotSpeed:0.4>
<shotInterval:6>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"シュプール","Spur"
"こんや、12じ、だれかが・・・
水　1方向長　隙15　レベル分の固定ダメージ","Hello, 12 people, someone ...
Water 1 direction long gap 15 Level fixed damage"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:15>
<shotType:2>
<shotIndex:2>
<shotSkill:833>
<shotSeName:Gun1>
<shotSePitch:150>","<shotWay:1>
<shotSpace:0.1>
<shotCount:60>
<shotSpeed:0.4>
<shotInterval:15>
<shotType:2>
<shotIndex:2>
<shotSkill:833>
<shotSeName:Gun1>
<shotSePitch:150>"
"マリッジガン","Marriage gun"
"責任を取らせるためのショットガン
炎　20方向短　隙30　固定ダメージ3","Shotgun to take responsibility
Flame 20 directions short gap 30 fixed damage 3"
"<shotWay:20>
<shotSpace:0.12>
<shotCount:15>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:50>","<shotWay:20>
<shotSpace:0.12>
<shotCount:15>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:50>"
"タレットガン","Turret gun"
"警備アンドロイドの装備
雷　5方向　隙15　固定ダメージ3","Security android equipment
Lightning 5 directions Gap 15 Fixed damage 3"
"<shotWay:5>
<shotSpace:0.10>
<shotCount:30>
<shotSpeed:0.4>
<shotInterval:15>
<shotType:1>
<shotIndex:3>
<shotSkill:834>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:5>
<shotSpace:0.10>
<shotCount:30>
<shotSpeed:0.4>
<shotInterval:15>
<shotType:1>
<shotIndex:3>
<shotSkill:834>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"クラスタガン","Cluster gun"
"弾をばらまく銃
雷　16方向　隙30　固定ダメージ3","A gun that scatters bullets
Lightning 16 directions Gap 30 Fixed damage 3"
"<shotWay:16>
<shotSpace:0.03>
<shotCount:20>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:3>
<shotSkill:834>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:16>
<shotSpace:0.03>
<shotCount:20>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:3>
<shotSkill:834>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"チェンソー","Chainsaw"
"切り刻んで悪魔のいけにえにする
斬撃　1方向短　隙150","Chop it up and make it a sacrifice to the devil
Slashing 1-way short gap 150"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:30>
<shotSpeed:0.08>
<shotInterval:150>
<shotType:4>
<shotIndex:10>
<shotSkill:821>
<shotSeName:Gun2>
<shotSePitch:120>
","<shotWay:1>
<shotSpace:0.1>
<shotCount:30>
<shotSpeed:0.08>
<shotInterval:150>
<shotType:4>
<shotIndex:10>
<shotSkill:821>
<shotSeName:Gun2>
<shotSePitch:120>"
"テンペスト","Tempest"
"踏むと神の雷が降り注ぐ
雷　設置　隙300　貫通","When you step on it, the thunder of God falls
Lightning installation gap 300 penetration"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:300>
<shotSpeed:0>
<shotInterval:300>
<shotType:4>
<shotIndex:16>
<shotSkill:830>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:50>","<shotWay:1>
<shotSpace:0.3>
<shotCount:300>
<shotSpeed:0>
<shotInterval:300>
<shotType:4>
<shotIndex:16>
<shotSkill:830>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:50>"
"バイブル","Bible"
"踏むと光の矢が降り注ぐ
雷　設置　隙300　貫通","When you step on it, an arrow of light falls
Lightning installation gap 300 penetration"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:300>
<shotSpeed:0>
<shotInterval:300>
<shotType:4>
<shotIndex:16>
<shotSkill:831>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:50>","<shotWay:1>
<shotSpace:0.3>
<shotCount:300>
<shotSpeed:0>
<shotInterval:300>
<shotType:4>
<shotIndex:16>
<shotSkill:831>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:50>"
"火炎放射器","Flamethrower"
"火が付いた液体を投射する兵器
炎　5方向短　隙15　固定ダメージ3","A weapon that projects a lit liquid
Flame 5 directions short gap 15 fixed damage 3"
"<shotWay:5>
<shotSpace:0.3>
<shotCount:7>
<shotSpeed:0.2>
<shotInterval:15>
<shotType:4>
<shotIndex:39>
<shotSkill:832>
<shotSeName:Fire2>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:5>
<shotSpace:0.3>
<shotCount:7>
<shotSpeed:0.2>
<shotInterval:15>
<shotType:4>
<shotIndex:39>
<shotSkill:832>
<shotSeName:Fire2>
<shotSeVolume:70>
<shotSePitch:150>"
"ネメシス","Nemesis"
"神の憤りと罰を象徴する女神の銃
雷　1方向　隙30　50-レベル分の固定ダメージ","Goddess gun that symbolizes God's wrath and punishment
Lightning 1 direction gap 30 50-Level fixed damage"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:35>
<shotSpeed:0.3>
<shotInterval:30>
<shotType:1>
<shotIndex:3>
<shotSkill:835>
<shotSeName:Gun1>
<shotSePitch:150>","<shotWay:1>
<shotSpace:0.1>
<shotCount:35>
<shotSpeed:0.3>
<shotInterval:30>
<shotType:1>
<shotIndex:3>
<shotSkill:835>
<shotSeName:Gun1>
<shotSePitch:150>"
"クリムゾン","Crimson"
"今夜もまた誰かが命を落とす
雷　2方向　隙50　50-レベル分の固定ダメージ","Someone will die again tonight
Lightning 2 directions 50-Level fixed damage"
"<shotWay:2>
<shotSpace:0.3>
<shotCount:35>
<shotSpeed:0.3>
<shotInterval:50>
<shotType:1>
<shotIndex:1>
<shotSkill:835>
<shotSeName:Gun1>
<shotSePitch:150>","<shotWay:2>
<shotSpace:0.3>
<shotCount:35>
<shotSpeed:0.3>
<shotInterval:50>
<shotType:1>
<shotIndex:1>
<shotSkill:835>
<shotSeName:Gun1>
<shotSePitch:150>"
"フレイムスロワー","Flames lower"
"金属を溶接するのに使用する工具
炎　6方向短　隙15　固定ダメージ3","Tools used to weld metal
Flame 6-direction short gap 15 Fixed damage 3"
"<shotWay:6>
<shotSpace:0.2>
<shotCount:9>
<shotSpeed:0.2>
<shotInterval:15>
<shotType:4>
<shotIndex:39>
<shotSkill:832>
<shotSeName:Fire2>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:6>
<shotSpace:0.2>
<shotCount:9>
<shotSpeed:0.2>
<shotInterval:15>
<shotType:4>
<shotIndex:39>
<shotSkill:832>
<shotSeName:Fire2>
<shotSeVolume:70>
<shotSePitch:150>"
"ハンドガン","Hand gun"
"扱いやすい銃
炎　1方向　隙30　固定ダメージ3　カスタムパーツ装備可","Easy-to-use gun
Flame 1 direction gap 30 fixed damage 3 custom parts can be equipped"
"<shotWay:1>
<shotSpace:0>
<shotCount:45>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:1>
<shotSpace:0>
<shotCount:45>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"バーストガン","Burst gun"
"同時に3発の弾が出るように改造したハンドガン
炎　3方向　隙30　固定ダメージ3　カスタムパーツ装備可","A hand gun modified to release 3 bullets at the same time
Flame 3 directions, gap 30, fixed damage 3, custom parts can be equipped"
"<shotWay:3>
<shotSpace:0>
<shotCount:45>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:3>
<shotSpace:0>
<shotCount:45>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:827>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"コインシューター","Coin shooter"
"コインをローレンツ力により加速して打ち出す装置
雷　2方向長　隙300　固定ダメージ100　地形貫通","A device that accelerates and launches coins by Lorentz force
Lightning 2 directions long gap 300 fixed damage 100 terrain penetration"
"<shotWay:2>
<shotSpace:0.01>
<shotCount:120>
<shotSpeed:0.6>
<shotInterval:300>
<shotType:2>
<shotIndex:3>
<shotSkill:829>
<shotSeName:Gun3>
<shotSePitch:50>","<shotWay:2>
<shotSpace:0.01>
<shotCount:120>
<shotSpeed:0.6>
<shotInterval:300>
<shotType:2>
<shotIndex:3>
<shotSkill:829>
<shotSeName:Gun3>
<shotSePitch:50>"
"トルテの爆弾","Torte bomb"
"トルテを1kmふっ飛ばすぐらいの威力がある
炎　設置　隙999","Powerful enough to blow Torte 1km away
Flame installation gap 999"
"<shotWay:1>
<shotSpace:0.5>
<shotCount:500>
<shotSpeed:0.0>
<shotInterval:999>
<shotType:3>
<shotIndex:36>
<shotSkill:808>
<shotSeName:key>","<shotWay:1>
<shotSpace:0.5>
<shotCount:500>
<shotSpeed:0.0>
<shotInterval:999>
<shotType:3>
<shotIndex:36>
<shotSkill:808>
<shotSeName:key>"
"ドクロのパネル","Skull panel"
"下痢のように爆弾が漏れ出す
炎　設置　隙10","Bomb leaks like diarrhea
Flame installation gap 10"
"<shotWay:1>
<shotSpace:0.5>
<shotCount:200>
<shotSpeed:0.0>
<shotInterval:10>
<shotType:3>
<shotIndex:36>
<shotSkill:808>
<shotSeName:key>","<shotWay:1>
<shotSpace:0.5>
<shotCount:200>
<shotSpeed:0.0>
<shotInterval:10>
<shotType:3>
<shotIndex:36>
<shotSkill:808>
<shotSeName:key>"
"キルシュトルテ","Kirstorte"
"黒い森のサクランボケーキ
食べ物　設置　隙70","Black forest cherry cake
Food installation gap 70"
"ローズリップ","Rose lip"
"薔薇のように赤い口紅
誘惑　2方向　隙30","Red lipstick like a rose
Temptation 2 directions gap 30"
"プリンセスハート","Princess Heart"
"セクシービーム出発
雷　2方向長　隙60","A sexy beam emitter.
Lightning 2-directional %60 Crit"
"<shotWay:2>
<shotSpace:0.3>
<shotCount:80>
<shotSpeed:0.1>
<shotInterval:60>
<shotType:3>
<shotIndex:41>
<shotSkill:812>
<shotSeName:Saint1>","<shotWay:2>
<shotSpace:0.3>
<shotCount:80>
<shotSpeed:0.1>
<shotInterval:60>
<shotType:3>
<shotIndex:41>
<shotSkill:812>
<shotSeName:Saint1>"
"でたらめなかけら","Random pieces"
"好き勝手ばら撒く
水　4方向遅　隙80","Sprinkle as you like
Water 4 directions slow gap 80"
"<shotWay:4>
<shotSpace:0.5>
<shotCount:150>
<shotSpeed:0.05>
<shotInterval:60>
<shotType:3>
<shotIndex:19>
<shotSkill:826>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>","<shotWay:4>
<shotSpace:0.5>
<shotCount:150>
<shotSpeed:0.05>
<shotInterval:60>
<shotType:3>
<shotIndex:19>
<shotSkill:826>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>"
"毒リンゴ","Poisoned apple"
"食べると眠り続けてしまう毒入りのリンゴ
食べ物　1方向長　隙40","食べると眠り続けてしまう毒入りのリンゴ
食べ物　1方向長　隙40"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:34>
<shotSkill:825>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:34>
<shotSkill:825>
<shotSeName:Wind7>"
"ぬいぐるみ","ぬいぐるみ"
"ストレス解消にちょうどいいクマのぬいぐるみ
打撃　1方向長　隙60","ストレス解消にちょうどいいクマのぬいぐるみ
打撃　1方向長　隙60"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:60>
<shotSpeed:0.15>
<shotInterval:60>
<shotType:4>
<shotIndex:22>
<shotSkill:803>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:60>
<shotSpeed:0.15>
<shotInterval:60>
<shotType:4>
<shotIndex:22>
<shotSkill:803>
<shotSeName:Wind7>"
"アイスソード","アイスソード"
"手に入れたことを誰かに喋ると死ぬ
水　3方向短　隙45","手に入れたことを誰かに喋ると死ぬ
水　3方向短　隙45"
"<shotWay:3>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.2>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:826>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:3>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.2>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:826>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>"
"プレゼント","プレゼント"
"とてもわくわくする箱　開けると爆発する
炎　設置　隙80","とてもわくわくする箱　開けると爆発する
炎　設置　隙80"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:300>
<shotSpeed:0>
<shotInterval:100>
<shotType:4>
<shotIndex:30>
<shotSkill:808>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:50>","<shotWay:1>
<shotSpace:0.3>
<shotCount:300>
<shotSpeed:0>
<shotInterval:100>
<shotType:4>
<shotIndex:30>
<shotSkill:808>
<shotSeName:Wind7>
<shotSeVolume:70>
<shotSePitch:50>"
"ショックジョッキー","ショックジョッキー"
"手からビガーっと雷撃を放つ魔法
雷　3方向長　隙45　貫通","手からビガーっと雷撃を放つ魔法
雷　3方向長　隙45　貫通"
"<shotWay:3>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.5>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:819>
<shotSeName:Thunder3>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:3>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.5>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:819>
<shotSeName:Thunder3>
<shotSeVolume:70>
<shotSePitch:150>"
"剣豪魚","剣豪魚"
"剣の道を究めた魚　はらわたが苦い
斬撃　1方向長　隙30","剣の道を究めた魚　はらわたが苦い
斬撃　1方向長　隙30"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.5>
<shotInterval:30>
<shotType:3>
<shotIndex:32>
<shotSkill:811>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.5>
<shotInterval:30>
<shotType:3>
<shotIndex:32>
<shotSkill:811>
<shotSeName:Wind7>"
"ヴォイニッチ手稿","ヴォイニッチ手稿"
"独自の言語で書かれた謎の書物
雷　設置　隙300　貫通","独自の言語で書かれた謎の書物
雷　設置　隙300　貫通"
"リリスエッジ","リリスエッジ"
"好き放題魔法弾を撃つわがままハンドガン
炎　3方向　隙30　固定ダメージ15　カスタムパーツ装備可","好き放題魔法弾を撃つわがままハンドガン
炎　3方向　隙30　固定ダメージ15　カスタムパーツ装備可"
"<shotWay:3>
<shotSpace:0>
<shotCount:45>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:836>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:3>
<shotSpace:0>
<shotCount:45>
<shotSpeed:0.4>
<shotInterval:30>
<shotType:1>
<shotIndex:1>
<shotSkill:836>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"オセロット","オセロット"
"ヤマネコ印のリボルバー
炎　1方向　隙35　固定ダメージ15　カスタムパーツ装備可","ヤマネコ印のリボルバー
炎　1方向　隙35　固定ダメージ15　カスタムパーツ装備可"
"<shotWay:1>
<shotSpace:0>
<shotCount:50>
<shotSpeed:0.4>
<shotInterval:35>
<shotType:1>
<shotIndex:1>
<shotSkill:836>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>","<shotWay:1>
<shotSpace:0>
<shotCount:50>
<shotSpeed:0.4>
<shotInterval:35>
<shotType:1>
<shotIndex:1>
<shotSkill:836>
<shotSeName:Gun1>
<shotSePitch:150>
<shotSeVolume:50>"
"アクアベレッタ","アクアベレッタ"
"空気中の水分を圧縮して撃つ銃　カスタムパーツ装備可
水　1方向長　隙240","空気中の水分を圧縮して撃つ銃　カスタムパーツ装備可
水　1方向長　隙240"
"ジェインソー","ジェインソー"
"一度も使ったことがないチェンソー
斬撃　1方向短　隙180","一度も使ったことがないチェンソー
斬撃　1方向短　隙180"
"<shotWay:1>
<shotSpace:0.1>
<shotCount:30>
<shotSpeed:0.08>
<shotInterval:180>
<shotType:5>
<shotIndex:10>
<shotSkill:821>
<shotSeName:Gun2>
<shotSePitch:120>
","<shotWay:1>
<shotSpace:0.1>
<shotCount:30>
<shotSpeed:0.08>
<shotInterval:180>
<shotType:5>
<shotIndex:10>
<shotSkill:821>
<shotSeName:Gun2>
<shotSePitch:120>"
"リリスバスター","リリスバスター"
"最強の剣　レベル99のリリスを倒した証
斬撃　1方向　隙30","最強の剣　レベル99のリリスを倒した証
斬撃　1方向　隙30"
